Country Name,last_gdp_per_capita,avg_gdp_per_capita,avg_pop_growth,avg_saving_rate,avg_resource_rents,avg_educ_attained,high_resources,OECD
Afghanistan,415.707417059086,415.576175682283,3.06040421705416,-2.73776944122657,0.609733157170016,13.9776213963826,0,0
Albania,8575.17113446213,4091.23745834341,-0.517060884526416,21.5907199578544,1.63472866585392,86.7414556230817,0,0
Algeria,5364.02795022731,4210.92315386423,1.73049808359837,45.2398702430577,23.9357777631655,37.8353958129883,1,0
Angola,2308.15976731274,2638.20412875266,3.55235032855305,32.5156893045846,33.8831740137155,31.6412078857422,1,0
Argentina,14187.4827252965,9635.66320297552,0.888344267362811,16.6185570797793,3.22027667831561,51.1350002288818,0,0
Armenia,8053.01066312345,3245.02536185662,-0.238753017950109,16.5353046851731,1.10629464594612,97.1027118137905,0,0
Aruba,33984.7906198041,25976.0862522492,0.750686555435229,11.1797963005446,0.00242109247242785,58.3800010681153,0,0
Australia,64820.9117890026,47897.5361581447,1.45256606886303,22.4766400424952,5.4156025732703,92.7472187042236,0,1
Austria,56033.573792065,44332.211681815,0.555320731483829,27.442548152602,0.165490878006339,99.0431316920689,0,1
Azerbaijan,7125.90858368611,4432.57928872514,1.00241923579191,34.5145045903537,28.0141003813327,96.0606484413147,1,0
"Bahamas, The",35896.50510715,28914.4971111044,0.928956452098705,22.4907262543191,0.0116520210961491,91.5212783813477,0,0
Bahrain,29218.8605634137,22358.6219817537,3.88334846108863,32.3924031759045,18.9940847644007,74.0862503051758,1,0
Bangladesh,2551.01772674142,1173.10024345457,1.08654378353236,35.3023201032597,1.07996413128613,39.5188983281453,0,0
Belarus,7829.05313660622,5305.73944197783,-0.368389751487101,27.3182559972781,1.64424349393667,94.7900009155273,0,0
Belgium,54700.9093236712,41921.4977773945,0.591911024118272,25.169861809679,0.034856424361634,83.6356720924377,0,1
Belize,7459.99815132837,5725.07014138931,2.36483103496271,18.9187939523633,1.72771302186085,67.0675206865583,0,0
Benin,1394.37330217623,981.251371104538,2.91935168777818,15.8698490327311,3.39835087226149,15.0688953399658,0,0
Bermuda,125841.602522489,97641.0691711262,0.236773755770747,39.5339525583289,0,91.5400009155273,0,0
Bhutan,3711.32767902157,2327.09679011625,1.24992373261251,35.3386206221486,3.58013349531183,18.9099998474121,0,0
Bolivia,3686.27996490544,2272.15748891347,1.54051152099179,18.4555217189226,8.12706687050854,53.3199873837558,0,0
Bosnia and Herzegovina,8638.66620201187,4553.66539855239,-1.08281685594347,12.622165024779,1.58824885624889,71.3417775080754,0,0
Botswana,7820.23240375076,6020.94742587924,1.71851566019,34.5155149248414,2.10518091443031,69.8899826049805,0,0
Brazil,10294.866680778,8132.2394758686,0.862985930883811,16.1684620096595,3.43774370334681,53.712181257165,0,0
Brunei Darussalam,32962.9065121916,31791.8757251506,1.51025174172522,57.3564673117575,25.7790516368193,84.7046823501587,1,0
Bulgaria,15885.5391311331,7176.08315280876,-1.00781952453581,19.5671954803692,1.02963694357936,93.8848423428005,0,0
Burkina Faso,882.689810086163,615.980732203737,2.86572043508402,13.8489785947763,9.43861947690606,9.92781454324722,0,0
Burundi,193.007145564804,196.159827847449,3.20914805673824,6.87616809871593,22.0263755747805,8.6466663678487,1,0
Cabo Verde,4850.98415849643,3253.57047764845,0.653414724752496,27.4053440671743,21.4886716450096,29.3500003814697,1,0
Cambodia,2429.74853452838,1237.64020874887,1.46263501121224,22.4227320955505,2.16002184819754,25.5994997705732,0,0
Cameroon,1736.86091073524,1359.33327593141,2.78977506589484,15.4283944683441,6.65486701456977,32.6972026824951,0,0
Canada,53431.1857063879,42787.0193292144,1.15348161330489,21.7487919743425,2.81326754353884,94.6279820033482,0,1
Chile,17067.8136150601,11642.2270248391,1.0392188984289,22.2975760988897,8.41354939849706,78.3157523018973,0,1
China,12614.0617416421,6008.63995367277,0.494849844268811,45.5262037879236,3.48481025283453,63.3266665140788,0,0
Colombia,6947.35928681966,5455.49849164601,1.28298150565891,16.5097509283171,5.65706426838963,47.8564057783647,0,1
Comoros,1590.31237688317,1315.42892018423,2.00252950323647,11.291887271103,1.68690446854781,24.0600732167562,0,0
"Congo, Dem. Rep.",627.502181690836,377.475591334828,3.21421182204807,15.7882059069228,23.287763690723,46.8407201766968,1,0
"Congo, Rep.",2477.97845544866,2301.20552496602,2.96780960917186,38.3667198971384,39.8830863793264,39.122859954834,1,0
Costa Rica,16942.0268119375,9046.61656358202,1.1629664615185,14.8011842047421,1.17153328049402,44.0240870389071,0,1
Cote d'Ivoire,2530.84659301723,1663.51979704653,2.47283852793926,2.97130961511866,3.74586941495758,22.1156240190778,0,0
Croatia,21865.4562838641,13072.4609976975,-0.65119577606342,20.2063759959926,0.841932176608616,91.906973702567,0,0
Curacao,22192.4453028535,18541.0716472928,0.244712780655913,9.3117759974226,0,94.8492469787598,0,0
Cyprus,36551.41796875,27275.654296875,1.53175358196853,14.3730045549233,0.0199794410694542,77.7541688617907,0,0
Czechia,31591.1770732969,18797.8033345698,0.228678170238652,24.8167170330593,0.617115713033374,99.7735048181871,0,1
Denmark,68453.8769281145,54998.2569410847,0.462780897123485,27.6112026860474,1.0993837941596,94.6709394454956,0,1
Djibouti,3554.83918868372,1780.31575254075,1.93742290876624,21.5232069219565,0.572947440940986,23.7844505310059,0,0
Dominica,9832.99643050057,6970.56748435419,-0.145284821917823,2.51710420605186,0.0363105643876136,44.0277395248414,0,0
Dominican Republic,10717.6276712204,5846.57650189867,1.22436723350834,22.3022066345332,0.840012523654747,55.8678286870321,0,0
Ecuador,6609.80408154957,4631.82463545963,1.52447972752525,23.4540485417734,10.8857749708142,47.6270000457764,1,0
"Egypt, Arab Rep.",3457.45691570455,2394.17994266787,1.96206968213782,16.2391155427835,8.85194692750448,48.0141736544096,0,0
El Salvador,5391.06926181338,3372.65302543364,0.269877394017326,14.941816870963,0.765894103945036,40.137500445048,0,0
Eritrea,688.68165957684,451.908795650673,1.87507223337117,15.8207194669292,5.54556954900565,,0,0
Estonia,30133.304450454,16991.213959925,-0.0602491422029633,24.5641680316126,1.90057935739619,98.2485209873745,0,1
